"Informazioni cronologiche","First of all, how old are you? This info is for statistical purposes only.","How would you ask CADOCS to detect community smells on a given GitHub repository? Your answer must contain the word ""LINK"" in upper case, where you would have written the repository's URL. Example: ""Hey CADOCS, can you tell which community smells are present in the repository LINK please?"" or ""hi, what are the community smells in the LINK project??""","How would you ask CADOCS to detect community smells on a given GitHub repository starting from a specified date? Your answer must contain the word ""LINK"" in upper case where you would have written the repository's URL. Also, one date in MM/DD/YYYY format must be specified. Example: ""Hey CADOCS, can you tell which community smells are present in the repository LINK after 03/23/2019?"" or ""hi, what are the community smells in the LINK project starting from 12/19/2021??""","How would you ask CADOCS to show you a report of last execution the tool has done? Example: ""I need a report of your last execution please"" or ""hello, show me information about your last execution.""","How would you ask CADOCS to give you some information about community smells it can detect? Example: ""What kind of community smells can you detect?"" or ""hey CADOCS i wanna know more about community smells...""","[OPTIONAL] If you are interested in the topic covered in this survey and you want to stay updated on future developments, leave your email here to receive news from us!"
"2022/05/06 12:00:09 AM EET","23","hello , what are the main community smells in the LINK project ?","Hello CADOCS , which are the main community smells in the LINK pronject after 07/06/2020  ?","Show mr th last execution","Which kind of community smells can you detect ?",""
"2022/05/06 8:12:00 AM EET","23","Hey, can you scan this LINK for me?","Hi, what are the smells in this repository LINK starting from 05/06/2017?","Show me your last smell detection","Tell me more about community smells",""
"2022/05/06 1:40:52 PM EET","22","Hey CADOCS, which community smells are in the LINK project?","Hey CADOCS, which community smells are in the LINK project After 10/10/2020?","Hey CADOCS, report your last execution","Hey CADOCS, tell me more about community smells",""
"2022/05/06 2:04:10 PM EET","22","CADOCS, search for smells in the LINK repo","CADOCS, search for smells in the LINK repo after 08/08/2018","CADOCS, report","CADOCS whay kind of smells can you detect?",""
"2022/05/06 2:24:13 PM EET","25","hi, what are the community smells in the LINK project","hi, what are the community smells in the LINK project starting from 12/19/2021??","hello, show me information about your last execution.","hey CADOCS i wanna know more about community smells",""
"2022/05/06 2:24:56 PM EET","22","Hey CADOCS, can you tell which community smells are present in the repository LINK please? ","Hi, what are the community smells in the LINK Project starting from 12/19/2021?","I need a report if your last execution please","What kind of community smells can you detect? ",""
"2022/05/06 2:31:47 PM EET","21","Hi CADOCS, wich community are present in this repository LINK?","Hi CADOCS witch community smells are in this repository LINK from 05/06/2022","Hi CADOCS give me the report of last execution","Hi CADOCS show me all kind of community you detect",""
"2022/05/06 5:17:07 PM EET","33","Hi, do you know what are the community smells in LINK repo?","Hi, i need all the community smells in LINK project after 31/12/2000","Hi, show me last execution report","Hi, do you know what are community smells?",""
"2022/05/06 5:22:22 PM EET","30","hi, are there community smells in the LINK project??"," can you tell which community smells are present in the repository LINK defore 03/23/2020?","I, tell me somethings  about your last execution","hey CADOCS tell me somethings  about community smells",""
"2022/05/07 11:51:18 AM EET","22","Hey CADOCS, what are the community smells in the repository LINK please? ","Hey CADOCS, what are the community smells in the repository LINK project starting from 26/11/1999? ","Hey CADOCS, I need a report of your last execution please ","Hey CADOCS, what kind of community smells can you detect? ",""
"2022/05/09 11:44:06 AM EET","23","Hello CADOCS, can you tell which community smells are present in the repository LINK please?","""Hello, what are the community smells in the LINK project date 12/12/20? Thanks in advance""","Hello, i need a report of your last task execution. Thanks in advance","I wanna know more about community smells, it seems interesting",""
"2022/05/09 1:04:29 PM EET","23","Hey CADOCS, could you check if the repository at this LINK has community smells please?","Hey CADOCS, could you check if the repository at this LINK has community smells, starting from 01/05/2020 please?","hello CADOCS, please give me a report about your last execution!","hey CADOCS, can you show me some informations about community smells that you can detect?","c.ferrara49@studenti.unisa.it"
"2022/05/09 1:20:03 PM EET","21","Hi CADOCS, could you check which community smells are present in the LINK project?","hi CADOCS, could you check which smells of the community are present in the LINK project starting from 22/02/2020","Could you give me a report on your last execution?","Could you tell me more about community smells and which ones you can detect?","Pio57_2015@libero.it"
"2022/05/10 10:06:53 AM EET","26","What are the community smells in the LINK project?","What are the community smells in the LINK project after 03/04/2020?","Give me a report of your lady execution.","CADOCS, What community smells have you detected?",""
